,vac_name,salary,emloyer
0,Главный специалист отдела залогов,,Газпромбанк
1,Ведущий специалист Отдела залога,до 100 000 руб.,ББР Банк
2,Специалист группы залогов,,Банк Жилищного Финансирования
3,Специалист по работе с залогами / Оценщик,,ID Finance
4,Главный специалист Отдела залога,до 112 500 руб.,ББР Банк
5,Специалист по залогам,,КБ Москоммерцбанк (АО)
6,Ведущий специалист Отдела оценки и мониторинга залогов,от 90 000 руб.,SBI Bank
7,Стажер Отдела сопровождения Управления кредитования (Залоги),до 25 000 руб.,Ланта-Банк
8,Главный специалист отдела оценки залогов и активов,,ПАО 
9,Менеджер по работе с ключевыми клиентами малого бизнеса,от 135 000 руб.,Сбер для экспертов
10,Юрист отдела корпоративного сопровождения,70 000 – 150 000 руб.,ООО 
11,Агент по недвижимости,от 60 000 руб.,ИНКОМ-НЕДВИЖИМОСТЬ
12,Менеджер по работе с корпоративными клиентами,60 000 – 200 000 руб.,Нек. орг. 
13,Менеджер по работе с клиентами,80 000 – 122 000 руб.,VISOTSKY CONSULTING CIS
14,Менеджер по продажам услуг,90 000 – 200 000 руб.,VISOTSKY CONSULTING CIS
15,"Водитель Яндекс такси на автомобиле компании (Эконом, Комфорт+)",50 000 – 90 000 руб.,ВТБМоторс
16,Водитель-курьер с личным легковым автомобилем,80 000 – 130 000 руб.,Курьерская служба GRASTIN
17,Водитель на автомобиле компании,70 000 – 100 000 руб.,Волга 24
18,Водитель легкового автомобиля (такси),80 000 – 110 000 руб.,ООО 
19,Менеджер по работе с ключевыми клиентами малого бизнеса,от 135 000 руб.,Сбер для экспертов
